Keys,Averages
0.1_0.0,1.0
0.2_0.1,1.0
0.3_0.2,0.8830579886190283
0.4_0.3,0.9030547318259491
0.5_0.4,0.8894639750551694
0.6_0.5,0.9164728861383674
0.7_0.6,0.9698621462688991
0.8_0.7,0.8269461266239855
0.9_0.8,0.9894479828473778
1.0_0.9,0.9251534660580344
1.1_1.0,0.9457643834499164
1.2_1.1,0.9184983276597646
1.3_1.2,0.9162988042150405
1.4_1.3,0.9278792014054977
1.5_1.4,0.9501087523174379
1.6_1.5,0.9182800501134383
1.7_1.6,0.8955731842688548
1.8_1.7,0.9537959833418659
1.9_1.8,0.9016915334290915
2.0_1.9,0.9060540263451634
